eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation
1,Mother,418,287,14,6,16,83.1833,1,130
1,Daughter1,375,297,11.5702,6,17,35.65,1.6,150
1,Daughter2,424,300,12.7273,6,17,47.5333,2,120
2,Mother,510,138,14,6,30,71.3,1.8,10
2,Daughter1,525,178,18.634,6,31,59.4167,1.2,160
2,Daughter2,483,150,18.634,6,31,59.4167,1.8,170
3,Mother,471,142,14,5,84,71.3,2.2,140
3,Daughter1,463,182,15.4,5,85,59.4167,1.4,160
3,Daughter2,421,149,15.4,5,85,71.3,1.2,170
4,Mother,412,317,14,7,9,71.3,1.6,130
4,Daughter1,387,311,14,7,10,47.5333,1.8,130
4,Daughter2,419,330,11.5702,7,10,35.65,2.4,130
